Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,Campanhã,2.1e-05
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PORTO,Campanhã,2.5e-05
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PORTO,Campanhã,2e-06
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,PORTO,Campanhã,4e-06
R1 - AM Lisboa,Setúbal,Alcochete,R2 - AM Porto,PORTO,PORTO,Campanhã,7.7e-05
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,PORTO,Campanhã,1e-06
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PORTO,Campanhã,0.00011
R1 - AM Lisboa,Setúbal,Palmela,R2 - AM Porto,PORTO,PORTO,Campanhã,1e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,PORTO,Campanhã,6.9e-05
R1 - AM Lisboa,Setúbal,Setúbal,R2 - AM Porto,PORTO,PORTO,Campanhã,1e-06
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,PORTO,Campanhã,0.001927
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,PORTO,Campanhã,4.4e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,PORTO,Campanhã,0.002972
R2 - AM Porto,Aveiro,São João da Madeira,R2 - AM Porto,PORTO,PORTO,Campanhã,0.00078
R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,PORTO,Campanhã,0.278909
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PORTO,Campanhã,0.295123
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PORTO,Campanhã,0.006171
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PORTO,Campanhã,0.000348
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PORTO,Campanhã,0.070568
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PORTO,Campanhã,0.018143
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,PORTO,Campanhã,0.000567
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,PORTO,Campanhã,0.000343
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PORTO,Campanhã,0.034866
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,PORTO,Campanhã,0.001467
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PORTO,Campanhã,0.002833
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,2e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.000197
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,9e-06
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,3.3e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,6e-06
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,1.4e-05
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,8e-06
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,1e-06
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,1.4e-05
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,1.8e-05
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.087938
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,6e-06
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.070989
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.014196
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.000152
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.000368
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.003588
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.005795
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.455933
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.000331
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.002855
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.000593
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.352942
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,9e-06
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.000378
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,3e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,1.3e-05
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,1.1e-05
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,2.1e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,4.5e-05
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,6e-06
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,2.9e-05
R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.000218
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,6e-06
R1 - AM Lisboa,Setúbal,Setúbal,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.0
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.002189
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.000122
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.001706
R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,9.9e-05
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.027432
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.051195
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.272679
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.01298
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.026708
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.011427
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,6.9e-05
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.119745
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.033103
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,0.019229
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Recarei,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Recarei,0.0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,Recarei,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,Recarei,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PAREDES,Recarei,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PAREDES,Recarei,0.0
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PAREDES,Recarei,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PAREDES,Recarei,2.7e-05
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PAREDES,Recarei,4e-06
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PAREDES,Recarei,1e-06
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PAREDES,Recarei,0.001834
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PAREDES,Recarei,2e-06
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PAREDES,Recarei,0.000675
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PAREDES,Recarei,6e-06
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Lordelo,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.0
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PAREDES,Lordelo,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PAREDES,Lordelo,2.7e-05
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PAREDES,Lordelo,4e-06
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PAREDES,Lordelo,1e-06
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.001834
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PAREDES,Lordelo,2e-06
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.000675
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PAREDES,Lordelo,6e-06
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1e-06
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,0.0
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,6.5e-05
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1.5e-05
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1e-06
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,0.001834
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,2e-06
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,0.000813
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,9e-06
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,6.4e-05
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,1e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,1e-06
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,1e-06
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,1e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,2e-06
R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.017432
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.029845
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.001296
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,2.5e-05
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.066919
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.000139
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.009769
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,0.000369
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Gandra,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Gandra,0.0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,Gandra,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,Gandra,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PAREDES,Gandra,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PAREDES,Gandra,0.0
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PAREDES,Gandra,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PAREDES,Gandra,2.7e-05
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PAREDES,Gandra,4e-06
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PAREDES,Gandra,1e-06
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PAREDES,Gandra,0.001834
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PAREDES,Gandra,2e-06
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PAREDES,Gandra,0.000675
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PAREDES,Gandra,6e-06
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.0
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,2.7e-05
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,4e-06
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,1e-06
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.001834
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,2e-06
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.000675
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,6e-06
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.000311
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,1e-05
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,5e-06
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.0
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,1e-06
R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,5e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,2.8e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,2.6e-05
R2 - AM Porto,Aveiro,São João da Madeira,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.000195
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.191129
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.005588
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.000268
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.033128
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.002004
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.000108
R2 - AM Porto,Porto,Santo Tirso,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.002428
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.000138
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.026193
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,6.6e-05
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.001066
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-06
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-06
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Folgosa,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,Folgosa,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,MAIA,Folgosa,0.0
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MAIA,Folgosa,0.0
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MAIA,Folgosa,0.0
R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,MAIA,Folgosa,5e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-05
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,MAIA,Folgosa,0.000112
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,MAIA,Folgosa,7e-06
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,MAIA,Folgosa,0.000277
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,MAIA,Folgosa,3.2e-05
R2 - AM Porto,Porto,Santo Tirso,R2 - AM Porto,PORTO,MAIA,Folgosa,0.002428
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,MAIA,Folgosa,3.5e-05
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,MAIA,Folgosa,0.002102
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,MAIA,Folgosa,0.000312
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,MAIA,Folgosa,2.1e-05
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Águas Santas,1e-06
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Águas Santas,1e-05
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,Águas Santas,1.9e-05
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MAIA,Águas Santas,0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,Águas Santas,0.0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,Águas Santas,1e-06
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,MAIA,Águas Santas,2e-06
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MAIA,Águas Santas,0.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,MAIA,Águas Santas,4e-06
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MAIA,Águas Santas,6e-06
R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,MAIA,Águas Santas,5e-06
R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,MAIA,Águas Santas,4.1e-05
